...1,Date,AveragePrice,Total Volume,Size_Small,Size_Large,Size_XL,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
34,2015-05-03,0.78,4015563.02,2914047.44,670161.4,61569.48,369784.7,356360.42,11566.37,1857.91,conventional,2015,LosAngeles
35,2015-04-26,1.02,2355703.98,1567937.53,427885.78,62487.28,297393.39,280321.62,15427.14,1644.63,conventional,2015,LosAngeles
36,2015-04-19,0.93,2901188.07,2029025.26,487491.5,58423.48,326247.83,279355.95,45364.01,1527.87,conventional,2015,LosAngeles
37,2015-04-12,0.93,2799667.4,1818859.19,579426.16,64716.4,336665.65,284383.05,50472.61,1809.99,conventional,2015,LosAngeles
38,2015-04-05,1.01,2603114.56,1753452.57,490701.38,73965.36,284995.25,245998.59,36929.22,2067.44,conventional,2015,LosAngeles
39,2015-03-29,1,2566690.28,1672623.8,535932.2,69022.84,289111.44,250801.63,36844.97,1464.84,conventional,2015,LosAngeles
40,2015-03-22,1.01,2466735.33,1423482.89,679696.81,68607.44,294948.19,275797.37,17691.29,1459.53,conventional,2015,LosAngeles
41,2015-03-15,0.94,2690257.2,1841764.25,445562.2,70872.78,332057.97,313898.03,16220.47,1939.47,conventional,2015,LosAngeles
42,2015-03-08,0.86,2797745.89,2005781.71,400644.42,62567.6,328752.16,311497.6,15650.13,1604.43,conventional,2015,LosAngeles
43,2015-03-01,0.75,3094278.93,2145439.03,592196.29,61863.94,294779.67,269524.6,23570.43,1684.64,conventional,2015,LosAngeles
44,2015-02-22,0.83,2954705.54,2050402.87,505580.16,61573.28,337149.23,309850.06,25218.02,2081.15,conventional,2015,LosAngeles
45,2015-02-15,0.83,2926435.94,2146773.46,408395.74,62511.83,308754.91,271596.41,35034.18,2124.32,conventional,2015,LosAngeles
46,2015-02-08,0.9,2641032.65,1673425.82,582236.24,58216.26,327154.33,280560.62,44327.49,2266.22,conventional,2015,LosAngeles
47,2015-02-01,0.74,4031949.04,2770656.27,854673.24,64439.7,342179.83,308754.64,31108.07,2317.12,conventional,2015,LosAngeles
48,2015-01-25,0.96,2329987.29,1518406.36,456562.55,60922.43,294095.95,255279.65,36398.19,2418.11,conventional,2015,LosAngeles
49,2015-01-18,0.89,2800679.5,1925013.31,526106.8,59364.23,290195.16,260857.96,26671.18,2666.02,conventional,2015,LosAngeles
50,2015-01-11,0.85,2713699.6,1786326.65,617233.39,58892.91,251246.65,222971.68,25111.74,3163.23,conventional,2015,LosAngeles
51,2015-01-04,0.85,2682159.95,1837999.65,524430.47,64225.78,255504.05,215571.8,36981.72,2950.53,conventional,2015,LosAngeles
0,2015-12-27,0.98,403741.62,98482.89,249362.94,13805.3,42090.49,42084.71,5.78,0,conventional,2015,Sacramento
1,2015-12-20,1,385518.03,99604.61,224843.47,15917.28,45152.67,45138.23,8.66,5.78,conventional,2015,Sacramento
2,2015-12-13,1,376689.94,94854.9,221627.68,16953.75,43253.61,43250.73,2.88,0,conventional,2015,Sacramento
3,2015-12-06,1.07,318280.23,82537.98,184349.52,12748.39,38644.34,38638.58,0,5.76,conventional,2015,Sacramento
4,2015-11-29,0.99,347406.9,80757.92,216851.97,13205.04,36591.97,36574.73,0,17.24,conventional,2015,Sacramento
5,2015-11-22,1.06,354986.48,83984.24,218912.41,12684.6,39405.23,39405.23,0,0,conventional,2015,Sacramento
6,2015-11-15,0.94,414161.47,100343.08,262929.38,11181.91,39707.1,39707.1,0,0,conventional,2015,Sacramento
7,2015-11-08,1.14,357132.53,118696.55,185189.82,11093.06,42153.1,42153.1,0,0,conventional,2015,Sacramento
8,2015-11-01,1.02,532467.38,180210.99,300978.15,12762.49,38515.75,38515.75,0,0,conventional,2015,Sacramento
9,2015-10-25,1.26,343757.21,98792.01,190021.02,12903,42041.18,42041.18,0,0,conventional,2015,Sacramento
10,2015-10-18,1.28,326458.27,94529.6,175181.76,12783.14,43963.77,43963.77,0,0,conventional,2015,Sacramento
11,2015-10-11,1.29,355472.28,85276.49,211955.75,13141.51,45098.53,45098.53,0,0,conventional,2015,Sacramento
12,2015-10-04,1.1,377192.1,70755.56,259002.51,12312.13,35121.9,35121.9,0,0,conventional,2015,Sacramento
13,2015-09-27,1.28,350982.2,84527.09,213297.91,13481.19,39676.01,39676.01,0,0,conventional,2015,Sacramento
14,2015-09-20,1.25,353231.58,79142.8,220538.2,12364.88,41185.7,41185.7,0,0,conventional,2015,Sacramento
15,2015-09-13,1.24,384192.52,101189.96,220364.77,15102.86,47534.93,47530.56,4.37,0,conventional,2015,Sacramento
16,2015-09-06,1.21,466705.75,137388.73,262139.81,17201.5,49975.71,49967,8.71,0,conventional,2015,Sacramento
17,2015-08-30,1.3,377229.13,114804.62,197034.03,17331.98,48058.5,48058.5,0,0,conventional,2015,Sacramento
18,2015-08-23,1.26,405274.71,112710.34,233164.62,12415.75,46984,46984,0,0,conventional,2015,Sacramento
19,2015-08-16,1.3,401708.33,136485.36,202459.2,13395.95,49367.82,49356.2,11.62,0,conventional,2015,Sacramento
20,2015-08-09,1.28,414823.74,146135.78,206011.16,13618.36,49058.44,49041,17.44,0,conventional,2015,Sacramento
21,2015-08-02,1.33,404664.32,131156.47,209986.17,14770.96,48750.72,48750.72,0,0,conventional,2015,Sacramento
22,2015-07-26,1.32,395471.89,130034.73,200668.51,13184.96,51583.69,51550.15,33.54,0,conventional,2015,Sacramento
23,2015-07-19,1.29,404604.85,130412.82,210334.54,9285.1,54572.39,54572.39,0,0,conventional,2015,Sacramento
24,2015-07-12,1.23,411928.38,130109.66,218611.12,6078.13,57129.47,56976.69,0,152.78,conventional,2015,Sacramento
25,2015-07-05,1.26,550810.62,161220.26,305122.62,17131.92,67335.82,67335.82,0,0,conventional,2015,Sacramento
26,2015-06-28,1.26,423984.04,143118.33,210343.54,13590.1,56932.07,56932.07,0,0,conventional,2015,Sacramento
27,2015-06-21,1.27,422723.91,137206.11,215068.66,14700.4,55748.74,55744.3,4.44,0,conventional,2015,Sacramento
28,2015-06-14,1.22,431791.38,149611.03,209926.36,13867.94,58386.05,58386.05,0,0,conventional,2015,Sacramento
29,2015-06-07,1.18,435087.17,143063.59,224039.06,14288.77,53695.75,53695.75,0,0,conventional,2015,Sacramento
30,2015-05-31,1.17,435723.85,156719.55,219047.4,14172.36,45784.54,45775.86,8.68,0,conventional,2015,Sacramento
31,2015-05-24,1.26,403793.79,110289.47,232223.44,12830.34,48450.54,48450.54,0,0,conventional,2015,Sacramento
32,2015-05-17,1.18,397215.12,141111.13,200745.02,12034.36,43324.61,43324.61,0,0,conventional,2015,Sacramento
33,2015-05-10,1.14,437822.76,162135,217681.33,13246.38,44760.05,44760.05,0,0,conventional,2015,Sacramento
34,2015-05-03,1.05,662034.34,149107.81,458178.77,13261.84,41485.92,41281.75,0,204.17,conventional,2015,Sacramento
35,2015-04-26,1.27,366719.82,101324.62,205561.23,13085.26,46748.71,46748.71,0,0,conventional,2015,Sacramento
36,2015-04-19,1.19,415841.32,117518.41,241637.11,13267.34,43418.46,43392.71,25.75,0,conventional,2015,Sacramento
37,2015-04-12,1.24,382583.75,119295.38,208546.45,13073.16,41668.76,41625.86,42.9,0,conventional,2015,Sacramento
38,2015-04-05,1.23,404333.75,120613.18,214547.09,15099.24,54074.24,54049.06,25.18,0,conventional,2015,Sacramento
39,2015-03-29,1.2,391178.81,110809.75,203705.17,13740.39,62923.5,62884.77,38.73,0,conventional,2015,Sacramento
40,2015-03-22,1.13,424708.39,106578.88,221094.74,13423.63,83611.14,83611.14,0,0,conventional,2015,Sacramento
41,2015-03-15,1.22,380761.14,113759.19,204089.22,14830.61,48082.12,48082.12,0,0,conventional,2015,Sacramento
42,2015-03-08,1.12,415147.69,152131.35,199610.67,13402.92,50002.75,50002.75,0,0,conventional,2015,Sacramento
43,2015-03-01,1.02,452845.47,143867.37,256090.11,13870.37,39017.62,39017.62,0,0,conventional,2015,Sacramento
44,2015-02-22,1.14,405013.16,137425.32,216791.05,11561.59,39235.2,39235.2,0,0,conventional,2015,Sacramento
45,2015-02-15,1.13,381041.74,134992.29,194031.02,10273.69,41744.74,41744.74,0,0,conventional,2015,Sacramento
46,2015-02-08,0.98,432572.45,144586.53,237751.75,9798.79,40435.38,40435.38,0,0,conventional,2015,Sacramento
47,2015-02-01,1.04,771974.9,287292.15,429601.75,15342.47,39738.53,39738.53,0,0,conventional,2015,Sacramento
48,2015-01-25,1.19,360027.65,101289.29,210411.75,9507.42,38819.19,38819.19,0,0,conventional,2015,Sacramento
49,2015-01-18,1.22,367047.36,83097.77,238956.51,5672.46,39320.62,39320.62,0,0,conventional,2015,Sacramento
50,2015-01-11,1.09,429492.28,109368.41,271300.08,5094.23,43729.56,43722.89,6.67,0,conventional,2015,Sacramento
51,2015-01-04,1.05,430138.88,110693.69,270107.61,9737.5,39600.08,39600.08,0,0,conventional,2015,Sacramento
0,2015-12-27,0.92,439968.4,141447.28,130341.75,20174.55,148004.82,116383.07,31621.75,0,conventional,2015,SanDiego
1,2015-12-20,0.94,420476.44,130565.46,119298.5,25052.93,145559.55,111019.22,34540.33,0,conventional,2015,SanDiego
2,2015-12-13,0.84,462548.3,155111.21,118664.89,16726.87,172045.33,128053.44,43991.89,0,conventional,2015,SanDiego
3,2015-12-06,0.67,565516.62,196490.3,209350.93,17406.01,142269.38,114044.25,28225.13,0,conventional,2015,SanDiego
4,2015-11-29,0.91,385289.59,143861.4,140359.41,20206.16,80862.62,64857.94,16004.68,0,conventional,2015,SanDiego
5,2015-11-22,0.98,385300.75,163396.83,129579.32,18973.9,73350.7,59945.93,13404.77,0,conventional,2015,SanDiego
6,2015-11-15,0.85,501838.1,264103.11,150523.33,15638.32,71573.34,63091,8482.34,0,conventional,2015,SanDiego
7,2015-11-08,0.92,492385.15,255993.88,154270.39,16457.11,65663.77,58719.13,6944.64,0,conventional,2015,SanDiego
8,2015-11-01,1.01,468472.81,211287.89,179995.77,17716.68,59472.47,53567.27,5897.02,8.18,conventional,2015,SanDiego
9,2015-10-25,1.08,408336.19,172518.85,165522.86,18702.56,51591.92,48469.97,3117.85,4.1,conventional,2015,SanDiego
10,2015-10-18,1.03,447663.17,197862.67,179049.25,19380.83,51370.42,47913.55,3456.87,0,conventional,2015,SanDiego
11,2015-10-11,0.93,492276.73,202263.25,234833.71,17638.39,37541.38,35490.61,2050.77,0,conventional,2015,SanDiego
12,2015-10-04,1.11,404301.76,154884.04,194838.77,18666.34,35912.61,31952.3,3960.31,0,conventional,2015,SanDiego
13,2015-09-27,0.93,491990.83,194526.22,245815.73,14807.56,36841.32,34448.65,2392.67,0,conventional,2015,SanDiego
14,2015-09-20,1.07,448488.04,204096.06,173105.77,28629.58,42656.63,39560.7,3095.93,0,conventional,2015,SanDiego
15,2015-09-13,1.08,464305.03,191302.75,199953.93,21645.98,51402.37,46655.35,4747.02,0,conventional,2015,SanDiego
16,2015-09-06,1.02,502677.35,271640.29,165034.84,19961.19,46041.03,41719.29,4321.74,0,conventional,2015,SanDiego
17,2015-08-30,1.04,490268.77,277305.27,145974.51,19843.62,47145.37,45500.19,1645.18,0,conventional,2015,SanDiego
18,2015-08-23,1.15,459471.05,250163.47,153378.68,20782.84,35146.06,33582.95,1563.11,0,conventional,2015,SanDiego
19,2015-08-16,1.05,514202.63,281209.49,176899.01,16942.25,39151.88,38649.39,502.49,0,conventional,2015,SanDiego
20,2015-08-09,1.03,630941.71,285569.68,288086.68,14248.31,43037.04,41132.08,1904.96,0,conventional,2015,SanDiego
21,2015-08-02,1.07,500999.15,275822.73,168300.62,12740.87,44134.93,42995.09,1139.84,0,conventional,2015,SanDiego
22,2015-07-26,1.1,495344.27,279280.58,161574.35,16605.49,37883.85,36718.01,1165.84,0,conventional,2015,SanDiego
23,2015-07-19,1.15,462526,258240.72,142492.68,16611.22,45181.38,41231.13,3950.25,0,conventional,2015,SanDiego
24,2015-07-12,1.1,490312.63,251056.27,182844.55,14524.67,41887.14,38417.55,3469.59,0,conventional,2015,SanDiego
25,2015-07-05,1.05,587740.55,328818.07,187820.87,18794.71,52306.9,46816.59,5490.31,0,conventional,2015,SanDiego
26,2015-06-28,1.02,495309.23,295023.15,142348.73,15418.32,42519.03,37940.93,4578.1,0,conventional,2015,SanDiego
27,2015-06-21,0.94,594488.41,368402.91,163855.72,16575.72,45654.06,41075.95,4578.11,0,conventional,2015,SanDiego
28,2015-06-14,0.87,630746.82,403551.43,165020.73,14478.75,47695.91,43522.9,4173.01,0,conventional,2015,SanDiego
29,2015-06-07,0.89,607468.04,378749.86,164367.13,13914.85,50436.2,46211.78,4224.42,0,conventional,2015,SanDiego
30,2015-05-31,0.9,569414.76,358147.99,153680.36,14150.62,43435.79,39195.38,4240.41,0,conventional,2015,SanDiego
31,2015-05-24,1.08,477415.68,273672.82,155813.57,13519.38,34409.91,29727.22,4682.69,0,conventional,2015,SanDiego
32,2015-05-17,1.02,458191.52,283530.1,131772.59,9903.23,32985.6,29400.09,3585.51,0,conventional,2015,SanDiego
33,2015-05-10,0.85,594740.3,399789.96,136147.89,11997.54,46804.91,43190.6,3614.31,0,conventional,2015,SanDiego
34,2015-05-03,0.8,740760.3,424263.68,247709.36,14408.91,54378.35,50153.42,4224.93,0,conventional,2015,SanDiego
35,2015-04-26,1.11,435990.48,235664.26,141949.05,14634.32,43742.85,37689.45,6053.4,0,conventional,2015,SanDiego
36,2015-04-19,1.04,488094.98,270328.18,156651.22,13282.24,47833.34,25453.84,22379.5,0,conventional,2015,SanDiego
37,2015-04-12,1.01,515246.69,260591.11,189713.87,14665.62,50276.09,26305.87,23949.07,21.15,conventional,2015,SanDiego
38,2015-04-05,1.11,469883.87,249036.72,162601.8,15718.9,42526.45,25464.02,16966.53,95.9,conventional,2015,SanDiego
39,2015-03-29,1.08,450370.85,234361.38,155583.39,14998.04,45428.04,25798.74,19629.3,0,conventional,2015,SanDiego
40,2015-03-22,0.96,515764.64,235106.15,221942.26,14165.05,44551.18,38487.7,6063.48,0,conventional,2015,SanDiego
41,2015-03-15,1.06,463106.48,257709.12,144761.07,17440,43196.29,37920.39,5268.51,7.39,conventional,2015,SanDiego
42,2015-03-08,0.95,504284.16,314550.25,127157.9,14754.16,47821.85,42719.72,5102.13,0,conventional,2015,SanDiego
43,2015-03-01,0.83,572552.24,317625.55,202619.21,14036.07,38271.41,32922.93,5315.64,32.84,conventional,2015,SanDiego
44,2015-02-22,0.92,516149.11,301983.87,151869.53,14484.65,47811.06,42234.77,5543.66,32.63,conventional,2015,SanDiego
45,2015-02-15,0.94,486113.55,303637.72,127874.99,15333.5,39267.34,33642.66,5425.61,199.07,conventional,2015,SanDiego
46,2015-02-08,0.98,448394.83,229118.81,162856.34,14251.47,42168.21,36417.77,5526.46,223.98,conventional,2015,SanDiego
47,2015-02-01,0.85,692276.13,357235.87,277723.14,15691.23,41625.89,36622.51,4738.29,265.09,conventional,2015,SanDiego
48,2015-01-25,1.02,406591.11,217747.34,140456.68,13326.97,35060.12,30090.58,4708.25,261.29,conventional,2015,SanDiego
49,2015-01-18,1.01,461063.73,250311.74,163944.2,14125.01,32682.78,27844.81,4411.36,426.61,conventional,2015,SanDiego
50,2015-01-11,0.82,544667.18,303369.02,192913.11,12900.65,35484.4,31807.96,3271.85,404.59,conventional,2015,SanDiego
51,2015-01-04,0.94,461607.33,244152.26,165299.33,15302.75,36852.99,30884.29,5595,373.7,conventional,2015,SanDiego
0,2015-12-27,1.05,692206.4,181704.67,422617.8,28184.73,59699.2,59094.49,582.9,21.81,conventional,2015,SanFrancisco
1,2015-12-20,1.15,637091.48,173521.67,364622.31,33083.99,65863.51,65038.1,766.09,59.32,conventional,2015,SanFrancisco
2,2015-12-13,1.22,616016.46,127080.03,384958.63,34069.96,69907.84,69022.62,781.91,103.31,conventional,2015,SanFrancisco
3,2015-12-06,1.06,694982.49,102771.75,498975.34,37321.12,55914.28,55171.77,638.89,103.62,conventional,2015,SanFrancisco
4,2015-11-29,1.05,651638.6,102783.08,462966.47,31195.04,54694.01,53992.69,647.78,53.54,conventional,2015,SanFrancisco
5,2015-11-22,1.04,709444.22,121232.94,502068.19,29410.26,56732.83,55908.92,773.33,50.58,conventional,2015,SanFrancisco
6,2015-11-15,0.99,775848.72,165884.02,517366.37,27969.25,64629.08,63811.01,780,38.07,conventional,2015,SanFrancisco
7,2015-11-08,1.4,599884.32,165981.13,319176.32,36598.97,78127.9,77364.54,693.33,70.03,conventional,2015,SanFrancisco
8,2015-11-01,0.97,869927.27,214932.11,563719.33,31481.92,59793.91,58929.19,845.56,19.16,conventional,2015,SanFrancisco
9,2015-10-25,1.55,561342.23,126498.63,334051.96,31358.89,69432.75,68582.18,812.22,38.35,conventional,2015,SanFrancisco
10,2015-10-18,1.52,586073.85,146584.21,332942.22,31021.35,75526.07,74724.61,756.67,44.79,conventional,2015,SanFrancisco
11,2015-10-11,1.58,564456.6,106180.64,351965.39,33512.19,72798.38,72030.82,735.56,32,conventional,2015,SanFrancisco
12,2015-10-04,1.04,762866.62,119177.06,563257.19,32511.26,47921.11,47092.45,796.67,31.99,conventional,2015,SanFrancisco
13,2015-09-27,1.38,651697.34,208309.03,349648.86,28301.64,65437.81,64581.92,785.56,70.33,conventional,2015,SanFrancisco
14,2015-09-20,1.56,578500.76,94105.15,380999.77,33739.89,69655.95,68664.57,946.67,44.71,conventional,2015,SanFrancisco
15,2015-09-13,1.53,603840.95,110779.86,367833.98,48322.55,76904.56,76151.26,734.16,19.14,conventional,2015,SanFrancisco
16,2015-09-06,1.54,646810.2,154276.07,384033.22,30732.28,77768.63,76963.49,805.14,0,conventional,2015,SanFrancisco
17,2015-08-30,1.53,649891.92,177166.44,364371.17,28647.61,79706.7,78843.03,863.67,0,conventional,2015,SanFrancisco
18,2015-08-23,1.59,610212.92,129106.61,380934.57,27089.79,73081.95,72131.45,950.5,0,conventional,2015,SanFrancisco
19,2015-08-16,1.59,618237.58,145519.47,364968.69,27530.5,80218.92,79372.32,846.6,0,conventional,2015,SanFrancisco
20,2015-08-09,1.56,603876.9,158022.04,345590.21,24997.46,75267.19,74158.48,1108.71,0,conventional,2015,SanFrancisco
21,2015-08-02,1.57,645158.33,164972.09,374726.64,28138.78,77320.82,76597.08,723.74,0,conventional,2015,SanFrancisco
22,2015-07-26,1.58,628331.04,150230.79,366576.34,32096.3,79427.61,78533.8,893.81,0,conventional,2015,SanFrancisco
23,2015-07-19,1.56,633327.17,146180.86,385520.87,19150.08,82475.36,81674.34,801.02,0,conventional,2015,SanFrancisco
24,2015-07-12,1.39,680351.84,149802.29,430540.93,10213.51,89795.11,88477.64,893.86,423.61,conventional,2015,SanFrancisco
25,2015-07-05,1.53,752191.79,168468.95,451890.53,30802.97,101029.34,100146.51,882.83,0,conventional,2015,SanFrancisco
26,2015-06-28,1.54,646324.68,154423.58,377054.83,29603.67,85242.6,84459.27,783.33,0,conventional,2015,SanFrancisco
27,2015-06-21,1.52,673720.54,161726.05,396191.28,29789.01,86014.2,84970.33,1043.87,0,conventional,2015,SanFrancisco
28,2015-06-14,1.51,696873.03,181175.51,403173.66,32092.36,80431.5,79360.05,1071.45,0,conventional,2015,SanFrancisco
29,2015-06-07,1.31,758817.08,167496.15,477146.12,36846.32,77328.49,76252.85,1075.64,0,conventional,2015,SanFrancisco
30,2015-05-31,1.29,764114.39,192708.56,469208.86,26109.55,76087.42,75077.58,1009.84,0,conventional,2015,SanFrancisco
31,2015-05-24,1.37,700411.03,131638.62,467572.13,23810.65,77389.63,76306.09,1083.54,0,conventional,2015,SanFrancisco
32,2015-05-17,1.32,701099.41,167532.68,434957.48,26013.96,72595.29,71643.24,952.05,0,conventional,2015,SanFrancisco
33,2015-05-10,1.3,742672.03,172662.98,462218.87,33343.35,74446.83,73411.19,1035.64,0,conventional,2015,SanFrancisco
34,2015-05-03,1,1310364.67,237060.7,975141.69,32834.29,65327.99,64042.6,971.5,313.89,conventional,2015,SanFrancisco
35,2015-04-26,1.39,680839.21,107461.85,458055.89,35558.24,79763.23,78503.98,1052.31,206.94,conventional,2015,SanFrancisco
36,2015-04-19,1.23,818816.7,134592.31,584922.85,25208.79,74092.75,72532.18,1560.57,0,conventional,2015,SanFrancisco
37,2015-04-12,1.33,729890.28,159838.22,469655.44,25315.71,75080.91,73789.73,1291.18,0,conventional,2015,SanFrancisco
38,2015-04-05,1.33,742539.71,143671.36,473142.55,35650.7,90075.1,88603.82,1025.45,445.83,conventional,2015,SanFrancisco
39,2015-03-29,1.3,742583.03,145294.94,460144.9,26459.6,110683.59,109753.43,930.16,0,conventional,2015,SanFrancisco
40,2015-03-22,1.19,841723.81,136354.98,568189.47,30959.94,106219.42,105385.09,818.89,15.44,conventional,2015,SanFrancisco
41,2015-03-15,1.26,779754.03,204467.41,455307.39,25349.5,94629.73,93761.35,862.22,6.16,conventional,2015,SanFrancisco
42,2015-03-08,1.16,830775.42,260192.19,442834.07,31289.15,96460.01,95539.75,803.34,116.92,conventional,2015,SanFrancisco
43,2015-03-01,0.95,1039265.17,251296.88,697969.61,22240.62,67758.06,66973.03,726.66,58.37,conventional,2015,SanFrancisco
44,2015-02-22,1.23,776336.17,165066.61,502502.44,27811.91,80955.21,80088.91,823.33,42.97,conventional,2015,SanFrancisco
45,2015-02-15,1.23,696515.27,176265.06,414826.51,27243.31,78180.39,77306.88,824.45,49.06,conventional,2015,SanFrancisco
46,2015-02-08,0.92,928836.58,252068.6,581737.42,20265.96,74764.6,74003.77,733.33,27.5,conventional,2015,SanFrancisco
47,2015-02-01,0.91,1352027.64,369580.89,896514.3,20587.92,65344.53,64393.44,832.23,118.86,conventional,2015,SanFrancisco
48,2015-01-25,1.21,713523.24,127276.45,481792.41,21293.67,83160.71,82293.47,796.67,70.57,conventional,2015,SanFrancisco
49,2015-01-18,1.22,753746.51,107566.95,554501.21,12868.74,78809.61,78241.87,515.56,52.18,conventional,2015,SanFrancisco
50,2015-01-11,1.03,916450.76,155455.32,670522.75,4107.26,86365.43,85706.54,658.89,0,conventional,2015,SanFrancisco
51,2015-01-04,0.99,907795.89,179507.69,637000.1,8803.79,82484.31,82033.71,444.44,6.16,conventional,2015,SanFrancisco
0,2016-12-25,0.84,2641775.31,794840.17,669585.49,65359.34,1111990.31,1032762.48,49937.35,29290.48,conventional,2016,LosAngeles
1,2016-12-18,0.84,2377799.62,767981.95,513487.28,56245.11,1040085.28,961115.47,55112.27,23857.54,conventional,2016,LosAngeles
2,2016-12-11,0.75,2793917.73,917098.69,631013.13,59599.98,1186205.93,1086150.77,80411.66,19643.5,conventional,2016,LosAngeles
3,2016-12-04,0.78,2780629.1,1076282.76,476162.95,53729.91,1174453.48,1135570.69,17964.53,20918.26,conventional,2016,LosAngeles
4,2016-11-27,1.01,2257271.18,865743.41,416437.85,50949.95,924139.97,868269.44,34138.07,21732.46,conventional,2016,LosAngeles
5,2016-11-20,1.1,2272023.15,880344.33,456709.37,60511.55,874457.9,808238.28,43041.56,23178.06,conventional,2016,LosAngeles
