expedition_id,peak_name,year,season,basecamp_date,highpoint_date,termination_date,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used,trekking_agency
EVER85403,Everest,1985,Winter,12/2/1985,12/22/1985,2/15/1986,"Bad weather (storms, high winds)",8500,11,0,1,0,TRUE,NA
EVER85402,Everest,1985,Winter,11/24/1985,12/8/1985,12/12/1985,"Bad weather (storms, high winds)",7100,16,0,2,0,FALSE,NA
EVER85404,Everest,1985,Winter,12/11/1985,1/13/1986,1/16/1986,Lack (or loss) of supplies or equipment,7700,9,0,2,0,FALSE,NA
EVER85401,Everest,1985,Winter,10/25/1985,12/15/1985,12/17/1985,"Bad weather (storms, high winds)",8450,9,0,10,0,TRUE,NA
EVER86101,Everest,1986,Spring,3/19/1986,4/29/1986,5/25/1986,"Bad weather (storms, high winds)",7775,11,0,0,0,FALSE,NA
EVER86102,Everest,1986,Spring,3/19/1986,5/20/1986,NA,Success (main peak),8850,13,0,0,0,TRUE,NA
EVER86103,Everest,1986,Spring,3/22/1986,5/9/1986,6/2/1986,"Bad weather (storms, high winds)",7600,9,0,0,0,FALSE,NA
EVER86104,Everest,1986,Spring,4/7/1986,5/10/1986,NA,"Bad weather (storms, high winds)",8600,5,0,7,0,TRUE,Express
EVER86105,Everest,1986,Spring,4/10/1986,5/13/1986,5/28/1986,Lack of time,7800,3,0,0,0,FALSE,Asian Trekking
EVER86201,Everest,1986,Summer,7/1/1986,9/18/1986,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7710,4,0,0,0,FALSE,NA
EVER86203,Everest,1986,Summer,8/10/1986,8/16/1986,NA,Accident (death or serious injury),7600,9,1,5,0,TRUE,NA
EVER86202,Everest,1986,Summer,8/1/1986,8/30/1986,9/5/1986,Success (main peak),8850,6,0,0,0,FALSE,NA
EVER86303,Everest,1986,Autumn,8/27/1986,9/28/1986,10/29/1986,"Bad weather (storms, high winds)",7770,20,0,13,1,TRUE,NA
EVER86305,Everest,1986,Autumn,9/24/1986,9/27/1986,10/22/1986,"Bad weather (storms, high winds)",8600,4,0,0,0,FALSE,Everest Trekking
EVER86301,Everest,1986,Autumn,8/7/1986,10/15/1986,10/18/1986,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8000,23,0,0,0,FALSE,NA
EVER86302,Everest,1986,Autumn,8/22/1986,9/25/1986,10/14/1986,Lack of time,8763,25,1,16,1,TRUE,NA
EVER86304,Everest,1986,Autumn,9/8/1986,10/12/1986,10/26/1986,"Bad weather (storms, high winds)",7170,11,0,8,0,TRUE,NA
EVER86402,Everest,1986,Winter,12/16/1986,1/25/1987,2/2/1987,Accident (death or serious injury),8300,5,0,9,1,TRUE,Asian Trekking
EVER86401,Everest,1986,Winter,11/21/1986,12/7/1986,12/25/1986,"Bad weather (storms, high winds)",8000,6,0,7,0,TRUE,Adventure Nepal
EVER87106,Everest,1987,Spring,4/24/1987,5/20/1987,5/21/1987,"Illness, AMS, exhaustion, or frostbite",7850,2,1,1,0,FALSE,Ama Dablam Trekking
EVER87103,Everest,1987,Spring,3/26/1987,4/25/1987,5/29/1987,"Bad weather (storms, high winds)",8250,23,0,3,0,FALSE,Himalayan Explorers
EVER87104,Everest,1987,Spring,4/2/1987,5/21/1987,5/27/1987,"Bad weather (storms, high winds)",8200,15,0,9,0,TRUE,Everest Trekking
EVER87105,Everest,1987,Spring,4/7/1987,5/23/1987,5/25/1987,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8000,2,0,0,0,FALSE,NA
EVER87101,Everest,1987,Spring,3/16/1987,5/21/1987,NA,"Bad weather (storms, high winds)",8650,28,0,7,0,TRUE,Nepal Himal
EVER87102,Everest,1987,Spring,3/17/1987,5/21/1987,5/29/1987,"Route technically too difficult, lack of experience, strength, or motivation",8750,14,0,5,0,TRUE,Nepal Himal
EVER87201,Everest,1987,Summer,7/5/1987,9/2/1987,9/5/1987,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8700,10,0,5,0,TRUE,NA
EVER87303,Everest,1987,Autumn,8/13/1987,10/13/1987,10/16/1987,"Bad weather (storms, high winds)",8200,12,0,2,0,TRUE,NA
EVER87304,Everest,1987,Autumn,8/23/1987,9/27/1987,11/1/1987,"Bad weather (storms, high winds)",8080,4,0,0,0,FALSE,Mountain Travel
EVER87306,Everest,1987,Autumn,9/4/1987,10/14/1987,10/22/1987,"Bad weather (storms, high winds)",8100,9,0,2,1,FALSE,NA
EVER87305,Everest,1987,Autumn,8/26/1987,10/2/1987,10/14/1987,"Bad weather (storms, high winds)",8400,15,0,10,0,TRUE,Mountain Travel
EVER87301,Everest,1987,Autumn,7/30/1987,10/12/1987,10/21/1987,"Bad weather (storms, high winds)",8100,29,1,15,0,TRUE,NA
EVER87307,Everest,1987,Autumn,9/6/1987,10/9/1987,11/1/1987,"Bad weather (storms, high winds)",8075,13,0,10,0,TRUE,Mountain Travel
EVER87402,Everest,1987,Winter,11/30/1987,12/22/1987,12/23/1987,Success (main peak),8850,9,0,1,0,TRUE,Adventure Nepal
EVER88104,Everest,1988,Spring,3/12/1988,5/25/1988,NA,Success (main peak),8850,25,0,0,0,TRUE,Mountain Travel
EVER88102,Everest,1988,Spring,3/8/1988,5/18/1988,5/22/1988,"Bad weather (storms, high winds)",8550,41,0,6,0,TRUE,NA
EVER88103,Everest,1988,Spring,3/10/1988,5/12/1988,NA,Success (main peak),8850,6,0,1,0,FALSE,NA
EVER88201,Everest,1988,Summer,6/20/1988,8/6/1988,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8400,19,0,8,0,TRUE,NA
EVER88312,Everest,1988,Autumn,NA,NA,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",5940,7,0,0,0,FALSE,NA
EVER88305,Everest,1988,Autumn,8/17/1988,10/1/1988,10/20/1988,"Bad weather (storms, high winds)",7770,32,0,0,0,TRUE,NA
EVER87401,Everest,1987,Winter,10/16/1987,2/9/1988,2/26/1988,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7650,4,0,0,0,FALSE,NA
EVER88403,Everest,1988,Winter,9/15/1988,12/11/1988,12/26/1988,"Bad weather (storms, high winds)",7800,4,0,0,0,FALSE,NA
EVER83102,Everest,1983,Spring,4/1/1983,5/7/1983,5/26/1983,Success (main peak),8850,16,0,22,0,TRUE,NA
EVER89401,Everest,1989,Winter,11/19/1989,12/29/1989,1/5/1990,"Bad weather (storms, high winds)",7900,27,0,10,1,TRUE,Asian Trekking
EVER89308,Everest,1989,Autumn,8/25/1989,10/13/1989,NA,Success (main peak),8850,24,0,16,0,TRUE,Cosmo Treks
EVER89312,Everest,1989,Autumn,9/3/1989,10/13/1989,NA,Success (main peak),8850,16,0,9,0,TRUE,Asian Trekking
EVER89309,Everest,1989,Autumn,8/31/1989,10/13/1989,10/18/1989,Success (main peak),8850,4,0,2,0,TRUE,Asian Trekking
EVER89314,Everest,1989,Autumn,9/15/1989,10/23/1989,NA,Success (main peak),8850,11,0,12,0,TRUE,Himalaya Expeditions
EVER89313,Everest,1989,Autumn,9/3/1989,9/25/1989,10/20/1989,Lack (or loss) of supplies or equipment,8450,9,0,8,0,TRUE,Sherpa Society
EVER89107,Everest,1989,Spring,4/10/1989,4/23/1989,4/24/1989,"Bad weather (storms, high winds)",7800,1,0,4,0,FALSE,Thamserku Trekking
EVER89105,Everest,1989,Spring,3/31/1989,5/10/1989,NA,Success (main peak),8850,15,1,9,0,TRUE,Thamserku Trekking
EVER89101,Everest,1989,Spring,3/11/1989,5/16/1989,NA,Success (main peak),8850,18,0,9,1,TRUE,Wilderness Experience
EVER89102,Everest,1989,Spring,3/17/1989,5/16/1989,5/19/1989,"Illness, AMS, exhaustion, or frostbite",8200,4,0,0,0,TRUE,Wilderness Experience
EVER89106,Everest,1989,Spring,4/9/1989,5/19/1989,5/24/1989,"Bad weather (storms, high winds)",8600,8,0,5,0,TRUE,Thamserku Trekking
EVER89104,Everest,1989,Spring,3/30/1989,5/24/1989,NA,Success (main peak),8850,15,0,12,0,TRUE,Mountain Travel
EVER89103,Everest,1989,Spring,3/26/1989,5/24/1989,NA,Success (main peak),8850,19,5,0,0,TRUE,Asian Trekking
EVER89108,Everest,1989,Spring,4/28/1989,5/15/1989,5/20/1989,"Bad weather (storms, high winds)",8600,2,0,0,0,TRUE,Thamserku Trekking
EVER88308,Everest,1988,Autumn,9/9/1988,10/17/1988,NA,Success (main peak),8850,8,4,4,0,FALSE,Mountain Travel
EVER88309,Everest,1988,Autumn,9/9/1988,10/14/1988,NA,Success (main peak),8850,5,0,5,0,FALSE,NA
EVER88307,Everest,1988,Autumn,9/8/1988,9/26/1988,NA,Success (main peak),8850,1,0,3,0,FALSE,Thamserku Trekking
EVER88301,Everest,1988,Autumn,8/10/1988,10/14/1988,10/19/1988,Success (main peak),8850,19,0,10,1,TRUE,Kunga
EVER88310,Everest,1988,Autumn,9/14/1988,10/13/1988,NA,Success (main peak),8850,9,0,15,2,TRUE,Sherpa Trekking Service (STS)
EVER88306,Everest,1988,Autumn,9/1/1988,9/26/1988,NA,Success (main peak),8850,14,0,13,0,TRUE,Sherpa Trekking Service (STS)
EVER88303,Everest,1988,Autumn,8/22/1988,9/29/1988,10/24/1988,Success (main peak),8850,13,0,28,0,TRUE,Jai Himal Trekking
EVER88304,Everest,1988,Autumn,8/22/1988,9/26/1988,NA,Success (main peak),8850,20,0,13,0,TRUE,Mountain Travel
EVER85304,Everest,1985,Autumn,9/16/1985,10/30/1985,NA,Success (main peak),8850,12,0,12,0,TRUE,NA
EVER85303,Everest,1985,Autumn,8/24/1985,10/7/1985,10/28/1985,"Route technically too difficult, lack of experience, strength, or motivation",8725,42,5,22,0,TRUE,NA
EVER85101,Everest,1985,Spring,3/12/1985,5/10/1985,NA,"Route technically too difficult, lack of experience, strength, or motivation",8600,21,0,12,0,TRUE,NA
EVER85102,Everest,1985,Spring,3/14/1985,4/21/1985,4/30/1985,Success (main peak),8850,14,0,22,0,TRUE,NA
EVER84402,Everest,1984,Winter,11/23/1984,1/16/1985,1/28/1985,"Bad weather (storms, high winds)",7500,16,0,9,0,TRUE,NA
EVER84401,Everest,1984,Winter,11/17/1984,12/20/1984,1/23/1985,Lack of time,7850,13,0,17,0,TRUE,NA
EVER84304,Everest,1984,Autumn,8/27/1984,10/9/1984,10/15/1984,Accident (death or serious injury),8200,6,2,1,0,FALSE,NA
EVER84305,Everest,1984,Autumn,8/29/1984,10/8/1984,10/11/1984,Success (claimed),8800,8,0,17,0,TRUE,NA
EVER84302,Everest,1984,Autumn,8/18/1984,10/24/1984,10/30/1984,Accident (death or serious injury),8400,27,1,10,1,TRUE,NA
EVER84306,Everest,1984,Autumn,9/6/1984,10/15/1984,10/21/1984,Success (main peak),8850,21,1,9,0,TRUE,NA
EVER84102,Everest,1984,Spring,3/16/1984,5/9/1984,5/27/1984,Success (main peak),8850,24,0,40,2,TRUE,NA
EVER84103,Everest,1984,Spring,3/18/1984,4/20/1984,5/9/1984,Success (main peak),8850,24,1,9,0,TRUE,NA
EVER83401,Everest,1983,Winter,11/20/1983,12/16/1983,NA,Success (main peak),8850,10,0,9,0,TRUE,Express
EVER83303,Everest,1983,Autumn,8/22/1983,10/14/1983,NA,"Bad weather (storms, high winds)",8535,19,0,20,0,TRUE,Mountain Travel
EVER83305,Everest,1983,Autumn,9/5/1983,10/8/1983,NA,Success (main peak),8850,5,0,10,1,FALSE,NA
EVER83306,Everest,1983,Autumn,9/10/1983,10/8/1983,NA,Success (main peak),8850,5,2,2,0,TRUE,NA
EVER82401,Everest,1982,Winter,11/21/1982,12/20/1982,12/31/1982,"Bad weather (storms, high winds)",7600,11,0,4,0,FALSE,NA
EVER82402,Everest,1982,Winter,12/3/1982,12/27/1982,1/1/1983,Success (main peak),8850,7,2,4,0,TRUE,NA
EVER84301,Everest,1984,Autumn,8/2/1984,10/3/1984,10/6/1984,Success (main peak),8850,9,0,2,0,FALSE,NA
EVER88101,Everest,1988,Spring,3/6/1988,5/5/1988,5/18/1988,Success (main peak),8850,99,1,99,0,TRUE,NA
EVER91307,Everest,1991,Autumn,9/2/1991,10/2/1991,10/16/1991,"Bad weather (storms, high winds)",7600,7,0,0,0,FALSE,Atlas
EVER91311,Everest,1991,Autumn,9/17/1991,10/7/1991,NA,Success (main peak),8850,10,0,0,0,TRUE,Mustang
EVER91308,Everest,1991,Autumn,9/7/1991,10/8/1991,10/11/1991,"Illness, AMS, exhaustion, or frostbite",8200,4,0,0,0,FALSE,Kunga
EVER91303,Everest,1991,Autumn,8/21/1991,10/6/1991,NA,Success (main peak),8850,15,0,7,0,TRUE,Above the Clouds
EVER91313,Everest,1991,Autumn,10/3/1991,10/30/1991,11/26/1991,"Bad weather (storms, high winds)",7100,8,0,3,0,FALSE,Sherpa Trekking Service (STS)
EVER91304,Everest,1991,Autumn,8/22/1991,9/30/1991,10/10/1991,"Bad weather (storms, high winds)",8760,14,0,16,0,TRUE,Thamserku Trekking
EVER91309,Everest,1991,Autumn,9/11/1991,10/5/1991,10/12/1991,Lack (or loss) of supplies or equipment,8750,8,0,6,0,TRUE,Cosmo Treks
EVER91312,Everest,1991,Autumn,9/24/1991,10/16/1991,10/20/1991,"Bad weather (storms, high winds)",7900,5,0,3,0,FALSE,Asian Trekking
EVER91302,Everest,1991,Autumn,8/14/1991,10/1/1991,10/2/1991,"Bad weather (storms, high winds)",8000,18,0,5,0,TRUE,Mountain Travel
EVER91310,Everest,1991,Autumn,9/15/1991,10/9/1991,10/15/1991,"Bad weather (storms, high winds)",7950,1,0,0,0,FALSE,NA
EVER91305,Everest,1991,Autumn,8/24/1991,10/3/1991,10/14/1991,Lack (or loss) of supplies or equipment,8750,8,0,4,0,TRUE,Kunga
EVER91201,Everest,1991,Summer,7/30/1991,9/7/1991,9/8/1991,"Bad weather (storms, high winds)",7250,11,0,3,0,FALSE,NA
EVER91301,Everest,1991,Autumn,8/6/1991,9/22/1991,9/23/1991,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7500,21,0,3,0,TRUE,Unknown
EVER91306,Everest,1991,Autumn,8/25/1991,9/30/1991,NA,"Bad weather (storms, high winds)",8760,19,0,8,0,TRUE,Sherpa Society
EVER90102,Everest,1990,Spring,3/8/1990,5/12/1990,5/13/1990,"Illness, AMS, exhaustion, or frostbite",7800,13,0,6,0,TRUE,Arniko Travel
EVER90110,Everest,1990,Spring,4/15/1990,6/4/1990,6/11/1990,"Route technically too difficult, lack of experience, strength, or motivation",8700,9,0,1,0,TRUE,Arniko Travel
EVER90101,Everest,1990,Spring,2/28/1990,5/26/1990,NA,"Route technically too difficult, lack of experience, strength, or motivation",7800,1,0,2,0,FALSE,Arniko Travel
EVER90103,Everest,1990,Spring,3/9/1990,5/7/1990,NA,Success (main peak),8850,39,0,7,0,TRUE,Lost Fortunes
EVER90107,Everest,1990,Spring,4/1/1990,5/10/1990,5/18/1990,Success (main peak),8850,10,0,18,0,TRUE,Mountain Travel
EVER90105,Everest,1990,Spring,3/28/1990,5/16/1990,5/20/1990,"Illness, AMS, exhaustion, or frostbite",8200,6,0,3,0,FALSE,Nepal Himal
EVER90106,Everest,1990,Spring,3/30/1990,5/11/1990,5/14/1990,Success (main peak),8850,4,0,2,0,FALSE,Kunga
EVER90104,Everest,1990,Spring,3/26/1990,4/23/1990,NA,Success (main peak),8850,26,0,24,0,TRUE,Kunga
EVER90108,Everest,1990,Spring,4/1/1990,5/10/1990,NA,Success (main peak),8850,10,0,9,0,TRUE,Wilderness Adventure
EVER90109,Everest,1990,Spring,4/1/1990,5/8/1990,NA,Lack (or loss) of supplies or equipment,8500,3,0,4,0,TRUE,Thamserku Trekking
EVER91108,Everest,1991,Spring,3/30/1991,5/2/1991,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8350,12,0,14,0,TRUE,NA
EVER90307,Everest,1990,Autumn,9/1/1990,10/4/1990,10/10/1990,Success (main peak),8850,11,0,16,0,TRUE,Himalayan Journeys
EVER90312,Everest,1990,Autumn,9/21/1990,10/11/1990,10/15/1990,"Bad weather (storms, high winds)",7770,6,0,1,0,FALSE,Himalaya Expeditions
EVER90310,Everest,1990,Autumn,9/5/1990,10/7/1990,NA,Success (main peak),8850,14,0,10,0,TRUE,Wilderness Experience
EVER90303,Everest,1990,Autumn,8/23/1990,10/6/1990,10/9/1990,Success (main peak),8850,14,1,11,0,TRUE,Himalayan Journeys
EVER90302,Everest,1990,Autumn,8/21/1990,10/9/1990,10/13/1990,"Bad weather (storms, high winds)",8320,11,0,10,0,FALSE,Asian Trekking
EVER90301,Everest,1990,Autumn,8/5/1990,9/18/1990,9/30/1990,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7800,6,0,0,0,FALSE,NA
EVER90308,Everest,1990,Autumn,9/1/1990,10/8/1990,10/9/1990,"Bad weather (storms, high winds)",8750,11,0,12,0,TRUE,Sherpa Society
EVER90311,Everest,1990,Autumn,9/10/1990,10/6/1990,10/7/1990,"Bad weather (storms, high winds)",8500,2,0,2,0,TRUE,Amtrek
EVER90304,Everest,1990,Autumn,8/24/1990,9/29/1990,10/7/1990,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000,3,0,0,0,FALSE,NA
EVER90306,Everest,1990,Autumn,8/29/1990,9/12/1990,9/15/1990,Accident (death or serious injury),6900,11,1,10,2,TRUE,NA
EVER90309,Everest,1990,Autumn,9/4/1990,10/5/1990,NA,Success (main peak),8850,18,0,15,0,TRUE,Thamserku Trekking
EVER90305,Everest,1990,Autumn,8/28/1990,10/4/1990,NA,Success (main peak),8850,22,0,15,0,TRUE,Everest Trekking
EVER91107,Everest,1991,Spring,3/26/1991,5/1/1991,5/10/1991,"Bad weather (storms, high winds)",7900,6,0,2,0,FALSE,NA
EVER91101,Everest,1991,Spring,3/10/1991,5/8/1991,NA,Success (main peak),8850,4,0,0,0,TRUE,Mountain Travel
EVER91102,Everest,1991,Spring,3/10/1991,5/15/1991,5/18/1991,Success (main peak),8850,8,0,6,0,TRUE,Nepal Himal
EVER91112,Everest,1991,Spring,4/7/1991,5/6/1991,5/13/1991,"Bad weather (storms, high winds)",7900,6,0,0,0,FALSE,NA
EVER91116,Everest,1991,Spring,4/30/1991,5/27/1991,5/30/1991,Success (main peak),8850,2,1,6,0,TRUE,NA
EVER91109,Everest,1991,Spring,3/31/1991,5/21/1991,5/26/1991,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8300,2,0,2,0,TRUE,NA
EVER91114,Everest,1991,Spring,4/11/1991,5/1/1991,5/5/1991,Other,8200,3,0,2,0,FALSE,Amtrek
EVER91115,Everest,1991,Spring,4/14/1991,5/5/1991,5/16/1991,"Route technically too difficult, lack of experience, strength, or motivation",6400,13,0,6,0,FALSE,NA
EVER91111,Everest,1991,Spring,4/4/1991,5/7/1991,5/21/1991,Success (main peak),8850,8,0,0,0,TRUE,NA
EVER91110,Everest,1991,Spring,4/3/1991,5/22/1991,5/26/1991,Success (main peak),8850,16,0,9,0,TRUE,NA
EVER91106,Everest,1991,Spring,3/20/1991,5/15/1991,5/20/1991,Success (main peak),8850,10,0,5,0,TRUE,NA
EVER91104,Everest,1991,Spring,3/13/1991,5/15/1991,5/28/1991,Success (main peak),8850,22,0,12,0,TRUE,Mountain Travel
EVER91103,Everest,1991,Spring,3/10/1991,5/8/1991,NA,Success (main peak),8850,13,0,0,0,TRUE,Mountain Travel
EVER91105,Everest,1991,Spring,3/19/1991,5/15/1991,NA,Success (main peak),8850,21,0,14,0,TRUE,NA
EVER91113,Everest,1991,Spring,4/7/1991,5/15/1991,NA,"Bad weather (storms, high winds)",8550,18,1,0,0,FALSE,NA
EVER88302,Everest,1988,Autumn,8/16/1988,9/16/1988,9/23/1988,"Bad weather (storms, high winds)",8650,13,1,4,0,FALSE,NA
EVER89201,Everest,1989,Summer,6/2/1989,6/14/1989,6/30/1989,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7500,6,0,0,0,FALSE,Trekking International
EVER89202,Everest,1989,Summer,6/15/1989,8/27/1989,9/3/1989,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8530,16,0,6,0,TRUE,Mountain Travel
EVER89204,Everest,1989,Summer,7/16/1989,8/20/1989,NA,"Bad weather (storms, high winds)",8100,5,0,0,0,FALSE,International Trekkers (Intrek Asia)
EVER89301,Everest,1989,Autumn,8/6/1989,10/14/1989,10/15/1989,"Bad weather (storms, high winds)",8200,10,0,6,0,TRUE,Nepal Himal
EVER87302,Everest,1987,Autumn,8/5/1987,10/15/1987,10/27/1987,"Bad weather (storms, high winds)",8500,15,0,1,0,TRUE,NA
EVER85201,Everest,1985,Summer,7/2/1985,8/28/1985,NA,Success (main peak),8850,14,0,5,0,TRUE,NA
EVER85103,Everest,1985,Spring,3/20/1985,5/21/1985,5/27/1985,"Illness, AMS, exhaustion, or frostbite",8170,19,0,0,0,TRUE,NA
EVER84101,Everest,1984,Spring,3/8/1984,5/20/1984,5/25/1984,"Bad weather (storms, high winds)",8600,19,0,6,0,TRUE,NA
EVER91403,Everest,1991,Winter,11/23/1991,12/20/1991,12/24/1991,"Bad weather (storms, high winds)",8600,5,0,2,0,TRUE,Asian Trekking
EVER91402,Everest,1991,Winter,11/12/1991,12/14/1991,12/21/1991,"Illness, AMS, exhaustion, or frostbite",8700,11,0,7,0,TRUE,Universal Trekking Network
EVER91401,Everest,1991,Winter,11/11/1991,12/21/1991,2/13/1992,"Bad weather (storms, high winds)",8350,18,0,25,0,TRUE,Cosmo Treks
EVER92115,Everest,1992,Spring,4/7/1992,5/15/1992,5/17/1992,Success (main peak),8850,7,0,2,0,TRUE,Nepal Himal
EVER92107,Everest,1992,Spring,3/26/1992,5/12/1992,NA,Success (main peak),8850,15,0,16,0,TRUE,Asian Trekking
EVER92109,Everest,1992,Spring,3/29/1992,5/15/1992,NA,Success (main peak),8850,5,0,5,0,TRUE,Kunga
EVER92110,Everest,1992,Spring,3/29/1992,5/28/1992,6/1/1992,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8200,10,0,7,0,TRUE,Wilderness Experience
EVER92102,Everest,1992,Spring,3/19/1992,5/12/1992,NA,Success (main peak),8850,15,0,14,0,TRUE,Wilderness Experience
EVER92113,Everest,1992,Spring,4/3/1992,5/16/1992,5/28/1992,Accident (death or serious injury),8360,14,1,3,0,TRUE,Himalayan Journeys
EVER92103,Everest,1992,Spring,3/20/1992,5/12/1992,5/18/1992,Other,8750,15,2,10,0,TRUE,Rover Treks/Arniko Travel
EVER92111,Everest,1992,Spring,3/29/1992,5/10/1992,5/24/1992,Success (main peak),8850,15,0,25,1,TRUE,Asian Trekking
EVER92104,Everest,1992,Spring,3/21/1992,5/15/1992,NA,Success (main peak),8850,18,0,8,0,TRUE,Yangrima
EVER92105,Everest,1992,Spring,3/23/1992,5/12/1992,NA,Success (main peak),8850,20,0,0,0,TRUE,Mustang
EVER92106,Everest,1992,Spring,3/23/1992,5/12/1992,NA,Success (main peak),8850,14,0,8,0,TRUE,Summit Nepal Trekking
EVER92116,Everest,1992,Spring,4/15/1992,5/14/1992,5/20/1992,"Bad weather (storms, high winds)",7900,6,0,3,0,TRUE,Cho Oyu Trekking
EVER92108,Everest,1992,Spring,3/27/1992,5/13/1992,5/18/1992,"Bad weather (storms, high winds)",8000,14,0,6,1,TRUE,Pabil Treks
EVER92112,Everest,1992,Spring,4/2/1992,5/15/1992,NA,Success (main peak),8850,4,0,1,0,TRUE,Kunga
EVER92114,Everest,1992,Spring,4/4/1992,5/9/1992,5/11/1992,"Route technically too difficult, lack of experience, strength, or motivation",7900,8,0,5,0,TRUE,Trans Himalayan Trekking (THT)
EVER92117,Everest,1992,Spring,4/25/1992,5/10/1992,5/25/1992,"Bad weather (storms, high winds)",7800,17,0,10,0,TRUE,International Trekkers (Intrek Asia)
EVER92101,Everest,1992,Spring,3/6/1992,5/18/1992,5/21/1992,"Bad weather (storms, high winds)",8500,19,0,12,0,TRUE,Summit Nepal Trekking
EVER92301,Everest,1992,Autumn,8/16/1992,10/10/1992,10/17/1992,"Bad weather (storms, high winds)",8200,4,0,6,0,TRUE,Everest Adventure
EVER92304,Everest,1992,Autumn,8/24/1992,9/27/1992,10/6/1992,"Bad weather (storms, high winds)",8100,10,0,0,0,FALSE,Trekking International
EVER92302,Everest,1992,Autumn,8/18/1992,9/17/1992,9/26/1992,"Bad weather (storms, high winds)",7600,12,0,0,0,FALSE,Unknown
EVER92305,Everest,1992,Autumn,8/29/1992,9/30/1992,10/11/1992,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7610,5,0,2,0,FALSE,Kunga
EVER92311,Everest,1992,Autumn,9/11/1992,10/2/1992,10/16/1992,"Bad weather (storms, high winds)",8000,20,0,0,0,TRUE,Sherpa High Ambitions
EVER92309,Everest,1992,Autumn,9/6/1992,10/1/1992,10/5/1992,Success (main peak),8850,5,0,3,0,TRUE,Everest Trekking
EVER92314,Everest,1992,Autumn,10/4/1992,10/7/1992,10/10/1992,"Illness, AMS, exhaustion, or frostbite",7300,1,0,2,1,FALSE,Mandala Trekking
EVER92308,Everest,1992,Autumn,9/4/1992,10/7/1992,NA,Success (main peak),8850,9,0,6,0,TRUE,Thamserku Trekking
EVER92307,Everest,1992,Autumn,9/2/1992,10/9/1992,10/13/1992,Success (main peak),8850,15,0,6,0,TRUE,Wilderness Experience
EVER92306,Everest,1992,Autumn,9/1/1992,10/4/1992,10/10/1992,Success (main peak),8850,11,0,9,0,TRUE,Thamserku Trekking
EVER92310,Everest,1992,Autumn,9/7/1992,9/28/1992,10/1/1992,Success (main peak),8850,20,0,10,0,TRUE,Cho Oyu Trekking
