Itinerary,Leg,Departure_Airport,Departure_Airport_IATA_Abbrv,Departure_Time,Arrival_Airport,Arrival_Airport_IATA_Abbrv,Arrival_Time,Flight_Duration,Aircraft,Airline,Flight_Number,Flight_Overnight,Layover_Duration
17,3,Los Angeles International Airport,LAX,2024-02-10 20:15,Harry Reid International Airport,LAS,2024-02-10 21:28,73,Boeing 737,United,UA 1960,FALSE,0
18,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,246
18,2,Daniel K. Inouye International Airport,HNL,2024-02-10 11:46,Kahului Airport,OGG,2024-02-10 12:30,44,Boeing 717,Hawaiian,HA 266,FALSE,230
18,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
19,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,270
19,2,Daniel K. Inouye International Airport,HNL,2024-02-10 12:10,Kahului Airport,OGG,2024-02-10 12:54,44,Boeing 717,Hawaiian,HA 286,FALSE,206
19,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
20,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,410
20,2,Daniel K. Inouye International Airport,HNL,2024-02-10 14:30,Kahului Airport,OGG,2024-02-10 15:15,45,Boeing 717,Hawaiian,HA 326,FALSE,65
20,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
21,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,378
21,2,Daniel K. Inouye International Airport,HNL,2024-02-10 13:58,Kahului Airport,OGG,2024-02-10 14:42,44,Boeing 717,Hawaiian,HA 306,FALSE,98
21,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
22,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,1450
22,2,Daniel K. Inouye International Airport,HNL,2024-02-11 7:50,Harry Reid International Airport,LAS,2024-02-11 15:35,345,Airbus A330,Hawaiian,HA 6,FALSE,0
23,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,465
23,2,Daniel K. Inouye International Airport,HNL,2024-02-10 15:25,Harry Reid International Airport,LAS,2024-02-10 23:10,345,Airbus A330,Hawaiian,HA 18,FALSE,0
24,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,223
24,2,Daniel K. Inouye International Airport,HNL,2024-02-10 11:23,Kahului Airport,OGG,2024-02-10 12:07,44,Boeing 717,Hawaiian,HA 246,FALSE,253
24,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
25,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,200
25,2,Daniel K. Inouye International Airport,HNL,2024-02-10 11:00,Kahului Airport,OGG,2024-02-10 11:44,44,Boeing 717,Hawaiian,HA 236,FALSE,276
25,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
26,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,155
26,2,Daniel K. Inouye International Airport,HNL,2024-02-10 10:15,Kahului Airport,OGG,2024-02-10 10:57,42,Boeing 717,Hawaiian,HA 226,FALSE,323
26,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
27,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,130
27,2,Daniel K. Inouye International Airport,HNL,2024-02-10 9:50,Kahului Airport,OGG,2024-02-10 10:31,41,Boeing 717,Hawaiian,HA 206,FALSE,349
27,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
28,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,325
28,2,Vancouver International Airport (YVR),YVR,2024-02-10 16:05,Portland International Airport,PDX,2024-02-10 17:21,76,De Havilland-Bombardier Dash-8,Air Canada,AC 8654,FALSE,233
28,3,Portland International Airport,PDX,2024-02-10 21:14,Harry Reid International Airport,LAS,2024-02-10 23:23,129,Embraer 175,Alaska,AS 3319,FALSE,0
29,1,Narita International Airport (NRT),NRT,2024-02-10 18:15,Los Angeles International Airport,LAX,2024-02-10 11:15,600,Boeing 777,Singapore Airlines,SQ 12,TRUE,1185
29,2,Los Angeles International Airport,LAX,2024-02-11 7:00,Harry Reid International Airport,LAS,2024-02-11 8:18,78,Boeing 737,Alaska,AS 702,FALSE,0
30,1,Narita International Airport (NRT),NRT,2024-02-10 18:15,Los Angeles International Airport,LAX,2024-02-10 11:15,600,Boeing 777,Singapore Airlines,SQ 12,TRUE,1853
30,2,Los Angeles International Airport,LAX,2024-02-11 18:08,Harry Reid International Airport,LAS,2024-02-11 19:22,74,Boeing 737,Alaska,AS 708,FALSE,0
31,1,Narita International Airport (NRT),NRT,2024-02-10 19:55,Daniel K. Inouye International Airport,HNL,2024-02-10 7:40,405,Airbus A330,Hawaiian,HA 822,TRUE,320
31,2,Daniel K. Inouye International Airport,HNL,2024-02-10 13:00,Kahului Airport,OGG,2024-02-10 13:44,44,Boeing 717,Hawaiian,HA 296,FALSE,156
31,3,Kahului Airport,OGG,2024-02-10 16:20,Harry Reid International Airport,LAS,2024-02-10 23:55,335,Airbus A321,Hawaiian,HA 32,FALSE,0
32,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,135
32,2,Los Angeles International Airport,LAX,2024-02-10 13:05,Denver International Airport,DEN,2024-02-10 16:29,144,Boeing 757,United,UA 1532,FALSE,181
32,3,Denver International Airport,DEN,2024-02-10 19:30,Harry Reid International Airport,LAS,2024-02-10 20:35,125,Boeing 737MAX 8 Passenger,United,UA 655,FALSE,0
33,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,220
33,2,Los Angeles International Airport,LAX,2024-02-10 14:30,Denver International Airport,DEN,2024-02-10 17:54,144,Boeing 737MAX 9 Passenger,United,UA 1554,FALSE,96
33,3,Denver International Airport,DEN,2024-02-10 19:30,Harry Reid International Airport,LAS,2024-02-10 20:35,125,Boeing 737MAX 8 Passenger,United,UA 655,FALSE,0
34,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,149
34,2,Los Angeles International Airport,LAX,2024-02-10 13:19,George Bush Intercontinental Airport,IAH,2024-02-10 18:35,196,Boeing 757,United,UA 2495,FALSE,78
34,3,George Bush Intercontinental Airport,IAH,2024-02-10 19:53,Harry Reid International Airport,LAS,2024-02-10 21:22,209,Boeing 737,United,UA 2086,FALSE,0
35,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,79
35,2,Los Angeles International Airport,LAX,2024-02-10 12:09,George Bush Intercontinental Airport,IAH,2024-02-10 17:25,196,Boeing 737MAX 9 Passenger,United,UA 2657,FALSE,148
35,3,George Bush Intercontinental Airport,IAH,2024-02-10 19:53,Harry Reid International Airport,LAS,2024-02-10 21:22,209,Boeing 737,United,UA 2086,FALSE,0
36,1,Narita International Airport (NRT),NRT,2024-02-10 13:20,Incheon International Airport,ICN,2024-02-10 15:55,155,Airbus A380,Asiana,OZ 101,FALSE,140
36,2,Incheon International Airport,ICN,2024-02-10 18:15,Seattle-Tacoma International Airport,SEA,2024-02-10 11:00,585,Airbus A350,Asiana,OZ 272,TRUE,101
36,3,Seattle-Tacoma International Airport,SEA,2024-02-10 12:41,Harry Reid International Airport,LAS,2024-02-10 15:15,154,Boeing 737,Alaska,AS 678,FALSE,0
37,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,135
37,2,Los Angeles International Airport,LAX,2024-02-10 13:05,Denver International Airport,DEN,2024-02-10 16:29,144,Boeing 757,United,UA 1532,FALSE,81
37,3,Denver International Airport,DEN,2024-02-10 17:50,Harry Reid International Airport,LAS,2024-02-10 18:55,125,Boeing 737MAX 8 Passenger,United,UA 679,FALSE,0
38,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,265
38,2,Vancouver International Airport (YVR),YVR,2024-02-10 15:05,Harry Reid International Airport,LAS,2024-02-10 17:53,168,Boeing 737MAX 8 Passenger,Air Canada,AC 1058,FALSE,0
39,1,Narita International Airport (NRT),NRT,2024-02-10 17:55,Los Angeles International Airport,LAX,2024-02-10 10:50,595,Boeing 787-10,United,UA 33,TRUE,126
39,2,Los Angeles International Airport,LAX,2024-02-10 12:56,Harry Reid International Airport,LAS,2024-02-10 14:09,73,Boeing 737,United,UA 2449,FALSE,0
40,1,Narita International Airport (NRT),NRT,2024-02-10 15:50,Incheon International Airport,ICN,2024-02-10 18:40,170,Boeing 777,Asiana,OZ 103,FALSE,130
40,2,Incheon International Airport,ICN,2024-02-10 20:50,San Francisco International Airport,SFO,2024-02-10 14:00,610,Airbus A350,Asiana,OZ 212,TRUE,157
40,3,San Francisco International Airport,SFO,2024-02-10 16:37,Harry Reid International Airport,LAS,2024-02-10 18:12,95,Boeing 737,Alaska,AS 706,FALSE,0
41,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,105
41,2,San Francisco International Airport,SFO,2024-02-10 11:00,Harry Reid International Airport,LAS,2024-02-10 12:45,105,Boeing 737,United,UA 470,FALSE,0
42,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,80
42,2,San Francisco International Airport,SFO,2024-02-10 10:35,Los Angeles International Airport,LAX,2024-02-10 12:10,95,Boeing 737MAX 8 Passenger,United,UA 1897,FALSE,46
42,3,Los Angeles International Airport,LAX,2024-02-10 12:56,Harry Reid International Airport,LAS,2024-02-10 14:09,73,Boeing 737,United,UA 2449,FALSE,0
43,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,229
43,2,San Francisco International Airport,SFO,2024-02-10 13:04,Harry Reid International Airport,LAS,2024-02-10 14:49,105,Boeing 737,United,UA 305,FALSE,0
44,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,95
44,2,San Francisco International Airport,SFO,2024-02-10 10:50,Denver International Airport,DEN,2024-02-10 14:29,159,Boeing 757,United,UA 246,FALSE,96
44,3,Denver International Airport,DEN,2024-02-10 16:05,Harry Reid International Airport,LAS,2024-02-10 17:10,125,Boeing 737,United,UA 517,FALSE,0
45,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,220
45,2,San Francisco International Airport,SFO,2024-02-10 12:55,Denver International Airport,DEN,2024-02-10 16:37,162,Boeing 757,United,UA 1374,FALSE,73
45,3,Denver International Airport,DEN,2024-02-10 17:50,Harry Reid International Airport,LAS,2024-02-10 18:55,125,Boeing 737MAX 8 Passenger,United,UA 679,FALSE,0
46,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,95
46,2,San Francisco International Airport,SFO,2024-02-10 10:50,Denver International Airport,DEN,2024-02-10 14:29,159,Boeing 757,United,UA 246,FALSE,201
46,3,Denver International Airport,DEN,2024-02-10 17:50,Harry Reid International Airport,LAS,2024-02-10 18:55,125,Boeing 737MAX 8 Passenger,United,UA 679,FALSE,0
47,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,495
47,2,San Francisco International Airport,SFO,2024-02-10 17:30,Harry Reid International Airport,LAS,2024-02-10 19:15,105,Boeing 737MAX 9 Passenger,United,UA 1896,FALSE,0
48,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,595
48,2,San Francisco International Airport,SFO,2024-02-10 19:10,Harry Reid International Airport,LAS,2024-02-10 20:55,105,Boeing 737,United,UA 1847,FALSE,0
49,1,Narita International Airport (NRT),NRT,2024-02-10 16:55,San Francisco International Airport,SFO,2024-02-10 9:15,560,Boeing 777,United,UA 838,TRUE,805
49,2,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
50,1,Narita International Airport (NRT),NRT,2024-02-10 17:35,Denver International Airport,DEN,2024-02-10 12:05,630,Boeing 787,United,UA 142,TRUE,240
50,2,Denver International Airport,DEN,2024-02-10 16:05,Harry Reid International Airport,LAS,2024-02-10 17:10,125,Boeing 737,United,UA 517,FALSE,0
51,1,Narita International Airport (NRT),NRT,2024-02-10 17:35,Denver International Airport,DEN,2024-02-10 12:05,630,Boeing 787,United,UA 142,TRUE,345
51,2,Denver International Airport,DEN,2024-02-10 17:50,Harry Reid International Airport,LAS,2024-02-10 18:55,125,Boeing 737MAX 8 Passenger,United,UA 679,FALSE,0
52,1,Narita International Airport (NRT),NRT,2024-02-10 17:35,Denver International Airport,DEN,2024-02-10 12:05,630,Boeing 787,United,UA 142,TRUE,445
52,2,Denver International Airport,DEN,2024-02-10 19:30,Harry Reid International Airport,LAS,2024-02-10 20:35,125,Boeing 737MAX 8 Passenger,United,UA 655,FALSE,0
53,1,Narita International Airport (NRT),NRT,2024-02-10 17:35,Denver International Airport,DEN,2024-02-10 12:05,630,Boeing 787,United,UA 142,TRUE,1180
53,2,Denver International Airport,DEN,2024-02-11 7:45,Harry Reid International Airport,LAS,2024-02-11 8:48,123,Boeing 737,United,UA 1005,FALSE,0
54,1,Narita International Airport (NRT),NRT,2024-02-10 9:15,Incheon International Airport,ICN,2024-02-10 12:00,165,Airbus A321neo,Korean Air,KE 706,FALSE,540
54,2,Incheon International Airport,ICN,2024-02-10 21:00,Harry Reid International Airport,LAS,2024-02-10 15:15,675,Boeing 777,Korean Air,KE 8005,TRUE,0
55,1,Narita International Airport (NRT),NRT,2024-02-10 17:00,Incheon International Airport,ICN,2024-02-10 19:50,170,Airbus A330,Korean Air,KE 712,FALSE,70
55,2,Incheon International Airport,ICN,2024-02-10 21:00,Harry Reid International Airport,LAS,2024-02-10 15:15,675,Boeing 777,Korean Air,KE 8005,TRUE,0
56,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,170
56,2,Vancouver International Airport (YVR),YVR,2024-02-10 13:30,San Francisco International Airport,SFO,2024-02-10 15:55,145,Boeing 737MAX 8 Passenger,Air Canada,AC 566,FALSE,95
56,3,San Francisco International Airport,SFO,2024-02-10 17:30,Harry Reid International Airport,LAS,2024-02-10 19:15,105,Boeing 737MAX 9 Passenger,United,UA 1896,FALSE,0
57,1,Narita International Airport (NRT),NRT,2024-02-10 9:00,Incheon International Airport,ICN,2024-02-10 11:40,160,Boeing 777,Asiana,OZ 107,FALSE,180
57,2,Incheon International Airport,ICN,2024-02-10 14:40,Los Angeles International Airport,LAX,2024-02-10 8:40,660,Airbus A380,Asiana,OZ 202,TRUE,256
57,3,Los Angeles International Airport,LAX,2024-02-10 12:56,Harry Reid International Airport,LAS,2024-02-10 14:09,73,Boeing 737,United,UA 2449,FALSE,0
58,1,Narita International Airport (NRT),NRT,2024-02-10 13:20,Incheon International Airport,ICN,2024-02-10 15:55,155,Airbus A380,Asiana,OZ 101,FALSE,125
58,2,Incheon International Airport,ICN,2024-02-10 18:00,San Francisco International Airport,SFO,2024-02-10 11:35,635,Boeing 787,United,UA 892,TRUE,89
58,3,San Francisco International Airport,SFO,2024-02-10 13:04,Harry Reid International Airport,LAS,2024-02-10 14:49,105,Boeing 737,United,UA 305,FALSE,0
59,1,Narita International Airport (NRT),NRT,2024-02-10 15:50,Incheon International Airport,ICN,2024-02-10 18:40,170,Boeing 777,Asiana,OZ 103,FALSE,130
59,2,Incheon International Airport,ICN,2024-02-10 20:50,San Francisco International Airport,SFO,2024-02-10 14:00,610,Airbus A350,Asiana,OZ 212,TRUE,210
59,3,San Francisco International Airport,SFO,2024-02-10 17:30,Harry Reid International Airport,LAS,2024-02-10 19:15,105,Boeing 737,United,UA 1896,FALSE,0
60,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,260
60,2,Vancouver International Airport (YVR),YVR,2024-02-10 15:00,San Francisco International Airport,SFO,2024-02-10 17:25,145,Boeing 737,United,UA 1230,FALSE,105
60,3,San Francisco International Airport,SFO,2024-02-10 19:10,Harry Reid International Airport,LAS,2024-02-10 20:55,105,Boeing 737,United,UA 1847,FALSE,0
61,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,515
61,2,Vancouver International Airport (YVR),YVR,2024-02-10 19:15,San Francisco International Airport,SFO,2024-02-10 21:40,145,Boeing 737,United,UA 2423,FALSE,60
61,3,San Francisco International Airport,SFO,2024-02-10 22:40,Harry Reid International Airport,LAS,2024-02-11 0:25,105,Boeing 737,United,UA 2366,FALSE,0
62,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,124
62,2,Vancouver International Airport (YVR),YVR,2024-02-10 12:44,Denver International Airport,DEN,2024-02-10 16:36,172,Boeing 737MAX 8 Passenger,United,UA 1036,FALSE,74
62,3,Denver International Airport,DEN,2024-02-10 17:50,Harry Reid International Airport,LAS,2024-02-10 18:55,125,Boeing 737MAX 8 Passenger,United,UA 679,FALSE,0
63,1,Narita International Airport (NRT),NRT,2024-02-10 18:55,Vancouver International Airport (YVR),YVR,2024-02-10 10:40,525,Boeing 777,Air Canada,AC 4,TRUE,250
